"","episode_number_overall","director","writer","rating","votes","type","fr"
"265",254,"Kanryou Kishikawa","Yasuyuki Suzuki",6.7,302,"Manga Canon",0.89
"266",255,"Hideki Takayama","Yasuyuki Suzuki",7.5,317,"Manga Canon",1.05
"267",256,"Hisashi Ishii","Masahiro Hikokubo",8.3,451,"Manga Canon",1.65
"268",257,"Shigeki Kawai","Junki Takegami",6.1,230,"Filler",0.62
"269",258,"Kiyomu Fukuda","Junki Takegami",5.7,222,"Filler",0.56
"270",259,"Noriyuki Abe","Junki Takegami",5.6,226,"Filler",0.56
"271",260,"Yuusuke Onoda","Katsuhiko Chiba",6,224,"Filler",0.59
"272",261,"Naoki Horiuchi","Masahiro Hikokubo",7.7,351,"Manga Canon",1.19
"273",262,"Masaaki Kumagai","Shin Yoshida",8.1,342,"Manga Canon",1.22
"274",263,"Hisashi Ishii","Shin Yoshida",7.9,327,"Manga Canon",1.14
"275",264,"Kiyomu Fukuda","Yasuyuki Suzuki",7.8,321,"Manga Canon",1.11
"276",265,"Yuusuke Onoda","Shin Yoshida",7.8,330,"Manga Canon",1.14
"277",266,"Kanryou Kishikawa","Shin Yoshida",8,343,"Manga Canon",1.21
"278",267,"Hideki Takayama","Masahiro Hikokubo",7.5,306,"Manga Canon",1.01
"279",268,"Hisashi Ishii","Masahiro Hikokubo",7.6,308,"Manga Canon",1.03
"280",269,"Katsumi Ono","Masahiro Hikokubo",7.8,312,"Manga Canon",1.07
"281",270,"Shigeki Kawai","Masahiro Hikokubo",7.9,314,"Manga Canon",1.1
"282",271,"Yuusuke Onoda","Yuka Miyata",5.8,248,"Filler",0.63
"283",272,"Tsuneo Tominaga","Katsuhiko Chiba",7.8,335,"Manga Canon",1.15
"284",273,"Kanryou Kishikawa","Yasuyuki Suzuki",7.3,306,"Manga Canon",0.99
"285",274,"Kiyomu Fukuda","Yasuyuki Suzuki",7.5,314,"Manga Canon",1.04
"286",275,"Mitsutaka Noshitani","Shin Yoshida",8,338,"Manga Canon",1.19
"287",276,"Hideki Takayama","Katsuhiko Chiba",7.8,307,"Manga Canon",1.06
"288",277,"Masaaki Kumagai","Masahiro Hikokubo",7.3,302,"Manga Canon",0.97
"289",278,"Tsuneo Tominaga","Yasuyuki Suzuki",7.4,299,"Manga Canon",0.98
"290",279,"Yuusuke Onoda","Shin Yoshida",7.1,239,"Filler",0.75
"291",280,"Shigeki Kawai","Katsuhiko Chiba",6.8,232,"Filler",0.7
"292",281,"Kiyomu Fukuda","Yasuyuki Suzuki",5.4,228,"Filler",0.54
"293",282,"Hisashi Ishii","Masahiro Hikokubo",7.7,306,"Manga Canon",1.04
"294",283,"Jun Nakagawa","Masahiro Hikokubo",8.1,337,"Manga Canon",1.21
"295",284,"Kanryou Kishikawa","Junki Takegami",7.3,232,"Filler",0.75
"296",285,"Masaaki Kumagai","Katsuhiko Chiba",6.7,223,"Filler",0.66
"297",286,"Mitsutaka Noshitani","Junki Takegami",6.5,214,"Filler",0.61
"298",287,"Sumito Sasaki","Junki Takegami",6.3,215,"Filler",0.6
"299",288,"Kiyomu Fukuda","Masahiro Hikokubo",6.6,228,"Filler",0.66
"300",289,"Yoshihide Ibata","Shin Yoshida",6.7,227,"Filler",0.67
"301",290,"Toshiyuki Tsuru","Toshiyuki Tsuru",6.6,241,"Filler",0.7
"302",291,"Masaaki Kumagai","Toshiyuki Tsuru",6.4,229,"Filler",0.65
"303",291,"Chikara Sakurai","Toshiyuki Tsuru",6.4,229,"Filler",0.65
"304",291,"Toshiyuki Tsuru","Toshiyuki Tsuru",6.4,229,"Filler",0.65
"305",292,"Yuu Yamashita","Toshiyuki Tsuru",6.8,237,"Filler",0.71
"306",293,"Toshiyuki Tsuru","Toshiyuki Tsuru",6.4,231,"Filler",0.65
"307",294,"Kazunori Mizuno","Toshiyuki Tsuru",6.6,234,"Filler",0.68
"308",295,"Toshiyuki Tsuru","Toshiyuki Tsuru",7.1,257,"Filler",0.81
"309",296,"Jun Nakagawa","Yasuyuki Suzuki",7.7,356,"Manga Canon",1.21
"310",297,"Mitsutaka Noshitani","Shin Yoshida",8.3,409,"Manga Canon",1.5
"311",298,"Sumito Sasaki","Yasuyuki Suzuki",8.8,674,"Manga Canon",2.62
"312",299,"Hidetoshi Takahashi","Yasuyuki Suzuki",8.5,485,"Manga Canon",1.82
"313",300,"Shigeki Kawai","Katsuhiko Chiba",8,338,"Manga Canon",1.19
"314",301,"Hisashi Ishii","Masahiro Hikokubo",8.2,360,"Manga Canon",1.3
"315",302,"Kanryou Kishikawa","Junki Takegami",7.7,304,"Manga Canon",1.03
"316",303,"Kazunori Mizuno","Masahiro Hikokubo",6.7,232,"Filler",0.69
"317",304,"Yoshihide Ibata","Masahiro Hikokubo",6.4,229,"Filler",0.65
"318",305,"Jun Nakagawa","Masahiro Hikokubo",6.6,223,"Filler",0.65
"319",306,"Shigeki Kawai","Shin Yoshida",6.2,225,"Filler",0.62
"320",307,"Sumito Sasaki","Yuka Miyata",6.4,234,"Filler",0.66
"321",308,"Hidetoshi Takahashi","Yuka Miyata",6.4,222,"Filler",0.63
"322",309,"Mitsutaka Noshitani","Katsuhiko Chiba",5.5,213,"Filler",0.52
"323",310,"Masaaki Kumagai","Katsuhiko Chiba",5.7,210,"Filler",0.53
"324",311,"Kazunori Mizuno","Yuka Miyata",7.5,287,"Filler",0.95
"325",312,"Naoki Horiuchi","Hideto Tanaka",5.6,218,"Filler",0.54
"326",313,"Kanryou Kishikawa","Yasuyuki Suzuki",5,240,"Filler",0.53
"327",314,"Fumiaki Usui","Yasuyuki Suzuki",5.2,222,"Filler",0.51
"328",315,"Hisashi Ishii","Yasuyuki Suzuki",5.8,216,"Filler",0.55
"329",316,"Sumito Sasaki","Katsuhiko Chiba",6.2,223,"Filler",0.61
"330",317,"Shigeki Kawai","Katsuhiko Chiba",6.6,224,"Filler",0.65
"331",318,"Hiroaki Nishimura","Shin Yoshida",6.2,217,"Filler",0.59
"332",319,"Kazunori Mizuno","Masahiro Hikokubo",6.7,229,"Filler",0.68
"333",320,"Kazuma Satou","Yasuyuki Suzuki",6.3,234,"Filler",0.65
"334",321,"Naoki Horiuchi","Katsuhiko Chiba",8,357,"Manga Canon",1.26
"335",322,"Hiroyuki Yamashita","Shin Yoshida",9.5,2260,"Manga Canon",9.48
"336",323,"Yoshihiro Sugai","Yuka Miyata",8.8,609,"Manga Canon",2.37
"337",324,"Masaaki Kumagai","Junki Takegami",7.7,340,"Mixed Canon/Filler",1.16
"338",325,"Hisashi Ishii","Yasuyuki Suzuki",8.1,344,"Manga Canon",1.23
"339",326,"Naomi Nakayama","Katsuhiko Chiba",8.2,351,"Manga Canon",1.27
"340",327,"Hiroaki Nishimura","Yuka Miyata",7.2,344,"Mixed Canon/Filler",1.09
"341",328,"Shigeki Kawai","Yuka Miyata",7.8,390,"Mixed Canon/Filler",1.34
"342",329,"Kazunori Mizuno","Shin Yoshida",9,856,"Manga Canon",3.4
"343",330,"Chikao Tominaga","Masahiro Hikokubo",7.7,322,"Mixed Canon/Filler",1.09
"344",331,"Naoki Horiuchi","Katsuhiko Chiba",6.9,309,"Mixed Canon/Filler",0.94
"345",332,"Masaaki Kumagai","Yasuyuki Suzuki",8.1,343,"Manga Canon",1.23
"346",333,"Shigeru Ishii","Shin Yoshida",8.3,369,"Manga Canon",1.35
"347",334,"Kazunori Mizuno","Katsuhiko Chiba",8.2,364,"Manga Canon",1.32
"348",335,"Mitsutaka Noshitani","Yasuyuki Suzuki",7.7,327,"Manga Canon",1.11
"349",336,"Shigeki Kawai","Masahiro Hikokubo",7.7,327,"Manga Canon",1.11
"350",337,"Hiroaki Nishimura","Masahiro Hikokubo",8.2,371,"Manga Canon",1.34
"351",338,"Kazunori Mizuno","Masahiro Hikokubo",8.2,378,"Mixed Canon/Filler",1.37
"352",339,"Atsushi Nigorikawa","Yuka Miyata",9.4,1644,"Manga Canon",6.82
"353",340,"Eiko Nishi","Katsuhiko Chiba",8.3,375,"Manga Canon",1.37
"354",341,"Naoki Horiuchi","Yasuyuki Suzuki",8,345,"Manga Canon",1.22
"355",342,"Masaaki Kumagai","Shin Yoshida",8.6,462,"Manga Canon",1.75
"356",343,"Kazuya Iwata","Masahiro Hikokubo",8.9,766,"Manga Canon",3.01
"357",344,"Kazunori Mizuno","Yasuyuki Suzuki",8.7,658,"Manga Canon",2.53
"358",345,"Hiroyuki Yamashita","Katsuhiko Chiba",9.4,1610,"Manga Canon",6.68
"359",346,"Eiko Nishi","Shin Yoshida",8.2,357,"Mixed Canon/Filler",1.29
"360",347,"Sekito Kanno","Shin Yoshida",7.6,295,"Filler",0.99
"361",348,"Atsushi Nigorikawa","Shin Yoshida",8,313,"Filler",1.11
"362",349,"Naoki Horiuchi","Junki Takegami",7.8,274,"Filler",0.94
"363",350,"Daisuke Kurose","Junki Takegami",7.9,295,"Filler",1.03
"364",351,"Kazuya Iwata","Junki Takegami",7.3,243,"Filler",0.78
"365",352,"Yoshihiko Iwata","Yasuyuki Suzuki",7,240,"Filler",0.74
"366",353,"Masaaki Kumagai","Yasuyuki Suzuki",6.8,229,"Filler",0.69
"367",354,"Naoki Hishikawa","Yasuyuki Suzuki",6.9,230,"Filler",0.7
"368",355,"Naoki Horiuchi","Katsuhiko Chiba",7.2,241,"Filler",0.77
"369",356,"Kazunori Mizuno","Katsuhiko Chiba",7.3,244,"Filler",0.79
"370",357,"Takuma Suzuki","Katsuhiko Chiba",7.7,266,"Filler",0.9
"371",358,"Atsushi Nigorikawa","Katsuhiko Chiba",8.2,342,"Filler",1.24
"372",359,"Fukutarou Hattori","Katsuhiko Chiba",8,289,"Filler",1.02
"373",360,"Daisuke Kurose","Masahiro Hikokubo",7.6,255,"Filler",0.86
"374",361,"Masayuki Yamada","Masahiro Hikokubo",8,293,"Filler",1.03
"375",362,"Takuma Suzuki","Junki Takegami",8.6,545,"Mixed Canon/Filler",2.07
"376",363,"Gorou Sessha","Hideto Tanaka",9,695,"Manga Canon",2.76
"377",364,"Masaaki Kumagai","Shin Yoshida",9.4,1212,"Manga Canon",5.03
"378",365,"Naoki Horiuchi","Katsuhiko Chiba",9.1,786,"Manga Canon",3.16
"379",366,"Kazunori Mizuno","Masahiro Hikokubo",9.2,959,"Manga Canon",3.89
"380",367,"Kazuya Iwata","Shin Yoshida",8.6,548,"Manga Canon",2.08
"381",368,"Atsushi Nigorikawa","Shin Yoshida",8.9,630,"Manga Canon",2.48
"382",369,"Yoshihiko Iwata","Masahiro Hikokubo",8.7,581,"Manga Canon",2.23
"383",370,"Yoshihiro Yanagiya","Masahiro Hikokubo",8.8,624,"Manga Canon",2.42
"384",371,"Masayuki Yamada","Katsuhiko Chiba",8.5,469,"Manga Canon",1.76
"385",372,"Masaaki Kumagai","Katsuhiko Chiba",9.3,1027,"Manga Canon",4.22
"386",372,"Masaaki Kumagai","Yuka Miyata",9.3,1027,"Manga Canon",4.22
"387",373,"Takuma Suzuki","Yuka Miyata",8.6,548,"Manga Canon",2.08
"388",374,"Naoki Horiuchi","Yasuyuki Suzuki",8.6,483,"Manga Canon",1.83
"389",375,"Hiroyuki Yamashita","Yasuyuki Suzuki",9.6,2301,"Manga Canon",9.75
"390",375,"Hiroyuki Yamashita","Shin Yoshida",9.6,2301,"Manga Canon",9.75
"391",376,"Kazuya Iwata","Yasuyuki Suzuki",4.3,293,"Filler",0.56
"392",377,"Kazunori Mizuno","Yasuyuki Suzuki",3.8,393,"Filler",0.66
"393",378,"Takuma Suzuki","Shin Yoshida",8.6,490,"Manga Canon",1.86
"394",379,"Atsushi Nigorikawa","Katsuhiko Chiba",8.9,598,"Manga Canon",2.35
"395",380,"Masayuki Yamada","Yasuyuki Suzuki",8.7,542,"Manga Canon",2.08
"396",381,"Yoshihiro Yanagiya","Yuka Miyata",8.8,582,"Manga Canon",2.26
"397",382,"Takuma Suzuki","Masahiro Hikokubo",8.7,475,"Manga Canon",1.82
"398",383,"Masaaki Kumagai","Katsuhiko Chiba",8.5,399,"Manga Canon",1.5
"399",384,"Naoki Horiuchi","Yasuyuki Suzuki",8.7,554,"Manga Canon",2.13
"400",385,"Kazunori Mizuno","Junki Takegami",8,349,"Mixed Canon/Filler",1.23
"401",385,"Kazunori Mizuno","Shin Yoshida",8,349,"Mixed Canon/Filler",1.23
"402",386,"Kazuya Iwata","Junki Takegami",7.8,302,"Mixed Canon/Filler",1.04
"403",386,"Kazuya Iwata","Shin Yoshida",7.8,302,"Mixed Canon/Filler",1.04
"404",387,"Atsushi Nigorikawa","Yuka Miyata",8.3,367,"Manga Canon",1.34
"405",388,"Yoshihiko Iwata","Masahiro Hikokubo",6.3,222,"Filler",0.62
"406",389,"Maki Odaira","Yuka Miyata",6.2,195,"Filler",0.53
"407",390,"Kiyoshi Murayama","Yuka Miyata",6.6,197,"Filler",0.57
"408",391,"Masaaki Kumagai","Yasuyuki Suzuki",8.9,682,"Manga Canon",2.68
"409",392,"Masayuki Yamada","Katsuhiko Chiba",8.8,631,"Manga Canon",2.45
"410",393,"Kazunori Mizuno","Shin Yoshida",9.1,861,"Manga Canon",3.46
"411",394,"Naoki Horiuchi","Junki Takegami",6.4,198,"Filler",0.56
"412",395,"Taisuke Mamoru","Junki Takegami",6.1,188,"Filler",0.51
"413",396,"Kazuya Iwata","Katsuhiko Chiba",6.7,189,"Filler",0.56
"414",397,"Atsushi Nigorikawa","Katsuhiko Chiba",6.7,185,"Filler",0.55
"415",398,"Tsuneo Tominaga","Shin Yoshida",6.4,185,"Filler",0.52
"416",399,"Tokuji Kaneko","Shin Yoshida",6.2,185,"Filler",0.51
"417",400,"Kentarou Fujita","Shin Yoshida",6.1,187,"Filler",0.5
"418",401,"Kazunori Mizuno","Shin Yoshida",7,198,"Filler",0.61
"419",402,"Tsuneo Tominaga","Yasuyuki Suzuki",5.9,187,"Filler",0.49
"420",403,"Masayuki Yamada","Yasuyuki Suzuki",5.9,186,"Filler",0.48
"421",404,"Akira Shimizu","Katsuhiko Chiba",5.7,183,"Filler",0.46
"422",405,"Atsushi Nigorikawa","Katsuhiko Chiba",6,181,"Filler",0.48
"423",406,"Fukutarou Hattori","Masahiro Hikokubo",5.8,182,"Filler",0.47
"424",406,"Kazuya Iwata","Masahiro Hikokubo",5.8,182,"Filler",0.47
"425",407,"Tokuji Kaneko","Masahiro Hikokubo",5.8,183,"Filler",0.47
"426",408,"Tsuneo Tominaga","Shuto Tanaka",6.1,183,"Filler",0.49
"427",408,"Tsuneo Tominaga","Yuka Miyata",6.1,183,"Filler",0.49
"428",409,"Yoshinori Odaka","Shuto Tanaka",6.2,182,"Filler",0.5
"429",409,"Yoshinori Odaka","Yuka Miyata",6.2,182,"Filler",0.5
"430",410,"Kentarou Fujita","Junki Takegami",6.3,182,"Filler",0.51
"431",411,"Masayuki Yamada","Junki Takegami",6.1,182,"Filler",0.49
"432",412,"Tsuneo Tominaga","Junki Takegami",6.2,183,"Filler",0.5
"433",413,"Kazunori Mizuno","Junki Takegami",6.5,186,"Filler",0.53
"434",414,"Akira Shimizu","Katsuhiko Chiba",8.5,447,"Manga Canon",1.68
"435",415,"Atsushi Nigorikawa","Shin Yoshida",8.1,343,"Manga Canon",1.23
"436",416,"Kazuya Iwata","Shin Yoshida",7,229,"Filler",0.71
"437",417,"Tokuji Kaneko","Shin Yoshida",8.1,297,"Filler",1.06
"438",418,"Takuma Suzuki","Yasuyuki Suzuki",8.3,431,"Manga Canon",1.58
"439",419,"Kentarou Fujita","Yasuyuki Suzuki",8.6,507,"Mixed Canon/Filler",1.92
"440",420,"Masayuki Yamada","Yuka Miyata",9,852,"Manga Canon",3.39
"441",421,"Kazunori Mizuno","Katsuhiko Chiba",9.5,1553,"Manga Canon",6.51
"442",422,"Takuma Suzuki","Yuka Miyata",6.6,197,"Filler",0.57
"443",423,"Akira Shimizu","Yuka Miyata",6.9,202,"Filler",0.62
"444",424,"Tomokazu Iwasaki","Yasuyuki Suzuki",9.2,1001,"Manga Canon",4.07
"445",425,"Ayataka Tanemura","Katsuhiko Chiba",8.9,692,"Manga Canon",2.72
"446",425,"Kazuya Iwata","Katsuhiko Chiba",8.9,692,"Manga Canon",2.72
"447",426,"Sumito Sasaki","Shuto Tanaka",8.3,368,"Mixed Canon/Filler",1.35
"448",427,"Hiroyuki Tsuchiya","Yuka Miyata",5.8,211,"Filler",0.54
"449",428,"Masayuki Yamada","Yuka Miyata",5.9,200,"Filler",0.52
"450",429,"Yoshinobu Tokumoto","Katsuhiko Chiba",5.2,201,"Filler",0.46
"451",430,"Kazunori Mizuno","Katsuhiko Chiba",5.2,198,"Filler",0.45
"452",431,"Kiyoshi Murayama","Yuka Miyata",6.2,193,"Filler",0.53
"453",432,"Akira Shimizu","Junki Takegami",5.6,185,"Filler",0.46
"454",433,"Maki Odaira","Junki Takegami",5.5,183,"Filler",0.44
"455",433,"Maki Odaira","Yasuyuki Suzuki",5.5,183,"Filler",0.44
"456",434,"Takuma Suzuki","Junki Takegami",5,222,"Filler",0.49
"457",434,"Takuma Suzuki","Yasuyuki Suzuki",5,222,"Filler",0.49
"458",435,"Kazuya Iwata","Junki Takegami",5.2,188,"Filler",0.43
"459",435,"Kazuya Iwata","Yasuyuki Suzuki",5.2,188,"Filler",0.43
"460",436,"Ayataka Tanemura","Junki Takegami",5.3,190,"Filler",0.44
"461",436,"Ayataka Tanemura","Yasuyuki Suzuki",5.3,190,"Filler",0.44
"462",436,"Ayataka Tanemura","Yuka Miyata",5.3,190,"Filler",0.44
"463",437,"Masayuki Yamada","Junki Takegami",5.2,190,"Filler",0.44
"464",437,"Masayuki Yamada","Yasuyuki Suzuki",5.2,190,"Filler",0.44
"465",438,"Kiyoshi Murayama","Junki Takegami",5.5,185,"Filler",0.45
"466",438,"Kiyoshi Murayama","Yasuyuki Suzuki",5.5,185,"Filler",0.45
"467",439,"Shinnosuke Imagawa","Junki Takegami",5.6,184,"Filler",0.45
"468",439,"Shinnosuke Imagawa","Yasuyuki Suzuki",5.6,184,"Filler",0.45
"469",440,"Kazunori Mizuno","Junki Takegami",5.7,187,"Filler",0.47
"470",441,"Toshihiro Maeya","Yuka Miyata",5.3,188,"Filler",0.44
"471",442,"Maki Odaira","Yuka Miyata",6,186,"Filler",0.49
"472",443,"Yasuhiro Akamatsu","Yuka Miyata",5.7,186,"Filler",0.47
"473",444,"Kazuya Iwata","Yasuyuki Suzuki",5.9,185,"Filler",0.48
"474",445,"Ayataka Tanemura","Junki Takegami",5.5,187,"Filler",0.45
"475",445,"Ayataka Tanemura","Yasuyuki Suzuki",5.5,187,"Filler",0.45
"476",446,"Masayuki Yamada","Yasuyuki Suzuki",5.5,187,"Filler",0.45
"477",447,"Toshihiro Maeya","Junki Takegami",5.5,188,"Filler",0.46
"478",447,"Toshihiro Maeya","Yasuyuki Suzuki",5.5,188,"Filler",0.46
"479",448,"Kiyoshi Murayama","Yasuyuki Suzuki",5.2,189,"Filler",0.43
"480",449,"Takeyuki Yanase","Junki Takegami",4.9,232,"Filler",0.5
"481",450,"Kazunori Mizuno","Yasuyuki Suzuki",6,190,"Filler",0.5
"482",451,"Kazuya Iwata","Katsuhiko Chiba",7.7,309,"Mixed Canon/Filler",1.05
"483",452,"Norihiko Nagahama","Katsuhiko Chiba",7.9,298,"Mixed Canon/Filler",1.04
"484",453,"Maki Odaira","Masahiro Hikokubo",7.2,281,"Mixed Canon/Filler",0.89
"485",454,"Yuusuke Onoda","Masahiro Hikokubo",7.9,297,"Mixed Canon/Filler",1.04
"486",455,"Masahiko Murata","Katsuhiko Chiba",8.8,689,"Mixed Canon/Filler",2.68
"487",456,"Kiyoshi Murayama","Katsuhiko Chiba",8,295,"Mixed Canon/Filler",1.04
"488",457,"Shougo Arai","Katsuhiko Chiba",8.2,309,"Mixed Canon/Filler",1.12
"489",458,"Masayuki Yamada","Katsuhiko Chiba",8.4,447,"Mixed Canon/Filler",1.66
"490",459,"Hisashi Ishii","Masahiro Hikokubo",8.4,420,"Manga Canon",1.56
"491",460,"Kazunori Mizuno","Shin Yoshida",7.6,288,"Mixed Canon/Filler",0.97
"492",461,"Naoki Horiuchi","Shin Yoshida",7.9,291,"Mixed Canon/Filler",1.01
"493",462,"Ayataka Tanemura","Shin Yoshida",8.2,311,"Mixed Canon/Filler",1.13
"494",463,"Fujii Toshiro","Masahiro Hikokubo",8.4,430,"Manga Canon",1.59
"495",464,"Kiyoshi Murayama","Shin Yoshida",7.7,251,"Filler",0.85
"496",465,"Maki Odaira","Shin Yoshida",7.5,244,"Filler",0.81
"497",466,"Masayuki Yamada","Shin Yoshida",7.4,239,"Filler",0.78
"498",467,"Atsushi Nigorikawa","Shin Yoshida",7.7,242,"Filler",0.82
"499",468,"Kazuya Iwata","Shin Yoshida",8.1,298,"Filler",1.07
"500",469,"Masayuki Kouda","Shuto Tanaka",7.9,325,"Filler",1.13
"501",470,"Masaaki Kumagai","Katsuhiko Chiba",8.5,494,"Manga Canon",1.85
"502",471,"Naoki Horiuchi","Yuka Miyata",8.3,386,"Mixed Canon/Filler",1.41
"503",472,"Kazunori Mizuno","Yuka Miyata",8.6,658,"Mixed Canon/Filler",2.5
"504",473,"Kiyoshi Murayama","Yuka Miyata",8.9,836,"Manga Canon",3.28
"505",474,"Masahiko Murata","Masahiro Hikokubo",9.5,1773,"Manga Canon",7.44
"506",475,"Yoshihiro Sugai","Katsuhiko Chiba",8.6,773,"Manga Canon",2.93
"507",476,"Hiroyuki Yamashita","Yuka Miyata",9.5,2136,"Manga Canon",8.96
"508",477,"Hiroyuki Yamashita","Yuka Miyata",9.7,3824,"Manga Canon",16.37
"509",478,"Toshiyuki Tsuru","Yasuaki Kurozu",9.4,1760,"Mixed Canon/Filler",7.3
"510",479,"Hayato Date","Yasuaki Kurozu",9,1017,"Mixed Canon/Filler",4.04
"511",480,"Osamu Kobayashi","Osamu Kobayashi",7.2,354,"Filler",1.13
"512",481,"Mitsuto Yamaji","Osamu Kobayashi",6.4,296,"Filler",0.84
"513",482,"Osamu Sekita","Osamu Kobayashi",6.5,291,"Filler",0.84
"514",483,"Taisuke Mamoru","Osamu Kobayashi",6.6,291,"Filler",0.85
"515",484,"Chiaki Kon","Masanao Akahoshi",7.2,341,"Manga Canon",1.08
"516",485,"Ayumi Ono","Masanao Akahoshi",7.3,333,"Manga Canon",1.07
"517",486,"Shingo Okano","Masanao Akahoshi",7.2,323,"Manga Canon",1.03
"518",487,"Osamu Sekita","Masanao Akahoshi",6.9,324,"Manga Canon",0.99
"519",488,"Chiaki Kon","Masanao Akahoshi",7.7,390,"Manga Canon",1.33
"520",489,"Toshinori Watanabe","Masaya Honda",7.3,339,"Manga Canon",1.09
"521",490,"Taiji Kawanishi","Masaya Honda",6.9,320,"Manga Canon",0.97
"522",491,"Naoki Hishikawa","Masaya Honda",6.9,315,"Manga Canon",0.96
"523",492,"Masayuki Matsumoto","Masaya Honda",7,316,"Manga Canon",0.98
"524",493,"Toshinori Watanabe","Masaya Honda",7.2,325,"Manga Canon",1.03
"525",494,"Michisoku Matsuda","Kento Shimoyama",7.1,331,"Manga Canon",1.04
"526",495,"Masahiko Murata","Kento Shimoyama",6.6,346,"Manga Canon",1.01
"527",496,"Yoshihiro Sugai","Kento Shimoyama",7.3,346,"Manga Canon",1.12
"528",497,"Maki Odaira","Kento Shimoyama",7,331,"Manga Canon",1.02
"529",498,"Naoki Horiuchi","Kento Shimoyama",6.5,337,"Manga Canon",0.97
"530",499,"Kazunori Mizuno","Kento Shimoyama",7.4,358,"Manga Canon",1.17
"531",500,"Masahiko Murata","Kento Shimoyama",9,1496,"Manga Canon",5.94
